gz_math-ci-gz-math7-homebrew-arm64,0.75
gz_math-ci-gz-math7-jammy-amd64,0.85
gz_math-ci-gz-math7-noble-amd64,0.85
gz_math-ci-gz-math8-homebrew-amd64,0.8
gz_math-ci-gz-math8-homebrew-arm64,0.8
gz_math-ci-gz-math8-noble-amd64,0.9
gz_math-ci-gz-math9-homebrew-amd64,0.85
gz_math-ci-gz-math9-homebrew-arm64,0.85
gz_math-ci-gz-math9-noble-amd64,0.95
gz_math-ci-ign-math6-homebrew-amd64,0.7
gz_math-ci-ign-math6-homebrew-arm64,0.7
gz_math-ci-ign-math6-jammy-amd64,0.8
gz_math-ci-main-homebrew-amd64,0.9
gz_math-ci-main-homebrew-arm64,0.9
gz_math-ci-main-noble-amd64,1.0
gz_math-ign-math6-clwin,0.7
gz_math-main-cnlwin,0.9
gz_msgs-10-clowin,0.75
gz_msgs-11-clowin,0.8
gz_msgs-12-cnlwin,0.85
gz_msgs-ci-gz-msgs10-homebrew-amd64,0.75
gz_msgs-ci-gz-msgs10-homebrew-arm64,0.75
gz_msgs-ci-gz-msgs10-jammy-amd64,0.85
gz_msgs-ci-gz-msgs10-noble-amd64,0.85
gz_msgs-ci-gz-msgs11-homebrew-amd64,0.8
gz_msgs-ci-gz-msgs11-homebrew-arm64,0.8
gz_msgs-ci-gz-msgs11-noble-amd64,0.9
gz_msgs-ci-gz-msgs12-homebrew-amd64,0.85
gz_msgs-ci-gz-msgs12-homebrew-arm64,0.85
gz_msgs-ci-gz-msgs12-noble-amd64,0.95
gz_msgs-ci-ign-msgs8-homebrew-amd64,0.7
gz_msgs-ci-ign-msgs8-homebrew-arm64,0.7
gz_msgs-ci-ign-msgs8-jammy-amd64,0.8
gz_msgs-ci-main-homebrew-amd64,0.9
gz_msgs-ci-main-homebrew-arm64,0.9
gz_msgs-ci-main-noble-amd64,1.0
gz_msgs-ign-msgs8-clwin,0.7
gz_msgs-main-cnlwin,0.9
gz_physics-7-clowin,0.75
gz_physics-8-clowin,0.8
gz_physics-9-cnlwin,0.85
gz_physics-ci-gz-physics7-homebrew-amd64,0.75
gz_physics-ci-gz-physics7-homebrew-arm64,0.75
gz_physics-ci-gz-physics7-jammy-amd64,0.85
gz_physics-ci-gz-physics7-noble-amd64,0.85
gz_physics-ci-gz-physics8-homebrew-amd64,0.8
gz_physics-ci-gz-physics8-homebrew-arm64,0.8
gz_physics-ci-gz-physics8-noble-amd64,0.9
gz_physics-ci-gz-physics9-homebrew-amd64,0.85
gz_physics-ci-gz-physics9-homebrew-arm64,0.85
gz_physics-ci-gz-physics9-noble-amd64,0.95
gz_physics-ci-ign-physics5-homebrew-amd64,0.7
gz_physics-ci-ign-physics5-homebrew-arm64,0.7
gz_physics-ci-ign-physics5-jammy-amd64,0.8
gz_physics-ci-main-homebrew-amd64,0.9
gz_physics-ci-main-homebrew-arm64,0.9
gz_physics-ci-main-noble-amd64,1.0
gz_physics-ign-physics5-clwin,0.7
gz_physics-main-cnlwin,0.9
gz_plugin-2-clowin,0.75
gz_plugin-3-clowin,0.8
gz_plugin-4-cnlwin,0.85
gz_plugin-ci-gz-plugin2-homebrew-amd64,0.75
gz_plugin-ci-gz-plugin2-homebrew-arm64,0.75
gz_plugin-ci-gz-plugin2-jammy-amd64,0.85
gz_plugin-ci-gz-plugin2-noble-amd64,0.85
gz_plugin-ci-gz-plugin3-homebrew-amd64,0.8
gz_plugin-ci-gz-plugin3-homebrew-arm64,0.8
gz_plugin-ci-gz-plugin3-noble-amd64,0.9
gz_plugin-ci-gz-plugin4-homebrew-amd64,0.85
gz_plugin-ci-gz-plugin4-homebrew-arm64,0.85
gz_plugin-ci-gz-plugin4-noble-amd64,0.95
gz_plugin-ci-ign-plugin1-homebrew-amd64,0.7
gz_plugin-ci-ign-plugin1-homebrew-arm64,0.7
gz_plugin-ci-ign-plugin1-jammy-amd64,0.8
gz_plugin-ci-main-homebrew-amd64,0.9
gz_plugin-ci-main-homebrew-arm64,0.9
gz_plugin-ci-main-noble-amd64,1.0
gz_plugin-ign-plugin1-clwin,0.7
gz_plugin-main-cnlwin,0.9
gz_rendering-10-cnlwin,0.85
gz_rendering-8-clowin,0.75
gz_rendering-9-clowin,0.8
gz_rendering-ci-gz-rendering10-homebrew-amd64,0.85
gz_rendering-ci-gz-rendering10-homebrew-arm64,0.85
gz_rendering-ci-gz-rendering10-noble-amd64,0.95
gz_rendering-ci-gz-rendering8-homebrew-amd64,0.75
gz_rendering-ci-gz-rendering8-homebrew-arm64,0.75
gz_rendering-ci-gz-rendering8-jammy-amd64,0.85
gz_rendering-ci-gz-rendering8-noble-amd64,0.85
gz_rendering-ci-gz-rendering9-homebrew-amd64,0.8
gz_rendering-ci-gz-rendering9-homebrew-arm64,0.8
gz_rendering-ci-gz-rendering9-noble-amd64,0.9
gz_rendering-ci-ign-rendering6-homebrew-amd64,0.7
gz_rendering-ci-ign-rendering6-homebrew-arm64,0.7
gz_rendering-ci-ign-rendering6-jammy-amd64,0.8
gz_rendering-ci-main-homebrew-amd64,0.9
gz_rendering-ci-main-homebrew-arm64,0.9
gz_rendering-ci-main-noble-amd64,1.0
gz_rendering-ign-rendering6-clwin,0.7
gz_rendering-main-cnlwin,0.9
gz_sensors-10-cnlwin,0.85
gz_sensors-8-clowin,0.75
gz_sensors-9-clowin,0.8
gz_sensors-ci-gz-sensors10-homebrew-amd64,0.85
gz_sensors-ci-gz-sensors10-homebrew-arm64,0.85
gz_sensors-ci-gz-sensors10-noble-amd64,0.95
gz_sensors-ci-gz-sensors8-homebrew-amd64,0.75
gz_sensors-ci-gz-sensors8-homebrew-arm64,0.75
gz_sensors-ci-gz-sensors8-jammy-amd64,0.85
gz_sensors-ci-gz-sensors8-noble-amd64,0.85
gz_sensors-ci-gz-sensors9-homebrew-amd64,0.8
gz_sensors-ci-gz-sensors9-homebrew-arm64,0.8
gz_sensors-ci-gz-sensors9-noble-amd64,0.9
gz_sensors-ci-ign-sensors6-homebrew-amd64,0.7
gz_sensors-ci-ign-sensors6-homebrew-arm64,0.7
gz_sensors-ci-ign-sensors6-jammy-amd64,0.8
gz_sensors-ci-main-homebrew-amd64,0.9
gz_sensors-ci-main-homebrew-arm64,0.9
gz_sensors-ci-main-noble-amd64,1.0
gz_sensors-ign-sensors6-clwin,0.7
gz_sensors-main-cnlwin,0.9
gz_sim-10-cnlwin,0.85
gz_sim-8-clowin,0.75
gz_sim-9-clowin,0.8
gz_sim-ci-gz-sim10-homebrew-amd64,0.85
gz_sim-ci-gz-sim10-homebrew-arm64,0.85
gz_sim-ci-gz-sim10-noble-amd64,0.95
gz_sim-ci-gz-sim8-homebrew-amd64,0.75
gz_sim-ci-gz-sim8-homebrew-arm64,0.75
gz_sim-ci-gz-sim8-jammy-amd64,0.85
gz_sim-ci-gz-sim8-noble-amd64,0.85
gz_sim-ci-gz-sim9-homebrew-amd64,0.8
gz_sim-ci-gz-sim9-homebrew-arm64,0.8
gz_sim-ci-gz-sim9-noble-amd64,0.9
gz_sim-ci-ign-gazebo6-homebrew-amd64,0.7
gz_sim-ci-ign-gazebo6-homebrew-arm64,0.7
gz_sim-ci-ign-gazebo6-jammy-amd64,0.8
gz_sim-ci-main-homebrew-amd64,0.9
gz_sim-ci-main-homebrew-arm64,0.9
gz_sim-ci-main-noble-amd64,1.0
gz_sim-ign-gazebo6-clwin,0.7
gz_sim-main-cnlwin,0.9
gz_tools-2-clowin,0.75
gz_tools-2-cnlwin,0.85
gz_tools-ci-gz-tools2-homebrew-amd64,0.75
gz_tools-ci-gz-tools2-homebrew-arm64,0.75
gz_tools-ci-gz-tools2-jammy-amd64,0.85
gz_tools-ci-gz-tools2-noble-amd64,0.85
